description,label
Smart home device with AI integration,0
Handcrafted wooden furniture,0
Sustainable eco-friendly clothing line,0
Mobile app for mental health tracking,1
3D printed prosthetic limbs,1
Online platform for remote coding interviews,0
Portable solar charger for camping,0
Educational toy for learning robotics,1
Wearable device to monitor heart rate,1
Subscription box for international snacks,1
Voice-controlled smart mirror,0
Interactive storytelling app for children,0
Reusable notebook with cloud sync,0
Smart water bottle with hydration reminders,1
AR-based interior design visualizer,1
Fitness app using machine learning,0
Language learning game with AI tutor,0
App for organizing community clean-ups,0
Organic skincare line with natural ingredients,1
Crowdsourced disaster relief map platform,0
Zero-waste grocery delivery service,0
Blockchain-based freelance marketplace,0
IoT sensor network for home security,0
Virtual reality platform for museum tours,0
Mobile app for managing college coursework,1
Subscription meal plan based on DNA,0
Smart compost bin for urban gardens,1
Marketplace for renting DIY tools,1
Online therapy with AI chat assistant,1
Digital planner for ADHD productivity,0
AI-powered resume and cover letter writer,0
Pet camera with automatic treat dispenser,1
Wearable posture corrector,1
Remote team-building game platform,0
Music therapy app for anxiety relief,1
Personal finance tracker for students,1
Crowdsourced public transport feedback app,1
Minimalist wallet with RFID blocking,1
Platform for skill-based volunteer work,0
Chatbot for managing daily habits,1
Online whiteboard for remote classrooms,0
Sleep tracker with AI recommendations,0
Eco toothbrush subscription with recycling,0
Personalized book club app,1
Mobile app to map street art,0
Digital art tablet for beginners,0
Remote cooking classes for kids,1
Plant health monitor with smart alerts,1
Climate action tracker for individuals,1
Portable desk for small apartments,0
